amfi_code,alpha,beta,r_squared
100016,3.75,-0.06,0.0027
100025,4.28,0.0,0.0
100033,27.2,0.01,0.0
101206,21.4,0.02,0.0003
101207,10.9,-0.07,0.0011
101208,6.09,0.0,0.0
102885,17.05,-0.02,0.0004
102886,2.9,-0.04,0.0009
102887,16.21,0.02,0.0002
118632,21.83,-0.01,0.0001
118633,15.64,-0.04,0.0011
118634,17.5,0.1,0.0028
118635,15.14,-0.0,0.0
118636,5.07,0.0,0.0
119092,6.9,0.01,0.0001
119093,8.23,0.03,0.0006
119094,26.08,-0.07,0.0019
119095,4.8,-0.07,0.0012
119120,5.62,-0.01,0.0004
119551,23.2,-0.03,0.0009
119552,19.87,-0.03,0.0006
119598,30.34,-0.02,0.0001
119599,4.88,0.06,0.001
120503,17.7,-0.04,0.0014
120504,21.19,0.02,0.0002
120505,29.26,0.0,0.0
120506,16.25,0.04,0.0013
120507,6.75,-0.0,0.0001
120841,13.04,0.04,0.0012
120842,7.8,0.02,0.0002
120843,27.33,-0.02,0.0003
120844,6.46,-0.0,0.0001
125497,17.73,0.05,0.0018
125498,11.99,0.01,0.0
148567,26.98,0.02,0.0005
148568,20.87,-0.03,0.0005
148569,28.27,0.02,0.0002
149322,13.17,-0.0,0.0
149323,26.6,-0.0,0.0
149324,30.06,0.01,0.0
