amfi_code,cagr_1yr,cagr_3yr,cagr_5yr
100016,-3.31,-0.03,2.54
100025,2.5,4.61,4.29
100033,47.73,33.63,28.9
101206,45.09,32.53,22.6
101207,-24.24,-2.7,7.64
101208,6.85,6.08,6.27
102885,18.32,17.52,17.52
102886,-13.23,-1.83,1.13
102887,12.73,25.66,16.19
118632,21.78,18.09,23.09
118633,28.41,18.13,15.65
118634,22.37,7.58,15.74
118635,22.0,16.24,15.34
118636,10.62,4.15,5.12
119092,3.4,0.56,6.13
119093,19.79,20.58,7.6
119094,30.92,36.07,27.08
119095,-45.42,-11.07,1.47
119120,5.72,5.61,5.67
119551,48.88,27.73,24.77
119552,8.25,15.38,20.68
119598,84.53,27.81,31.1
119599,11.91,-0.69,1.98
120503,4.81,14.8,18.05
120504,11.5,28.37,22.37
120505,30.35,30.21,31.48
120506,32.9,18.25,16.42
120507,7.01,7.05,6.97
120841,18.16,16.68,13.02
120842,18.61,10.04,6.45
120843,28.48,25.66,29.65
120844,6.84,6.54,6.66
125497,29.35,17.71,18.28
125498,16.67,12.49,10.87
148567,14.58,31.28,29.71
148568,10.5,13.08,21.63
148569,44.47,23.32,30.64
149322,19.13,16.53,12.88
149323,22.31,24.24,28.38
149324,62.08,25.03,30.97
