amfi_code,scheme_name_x,fund_house_x,return_3yr_pct,sharpe_ratio,alpha,beta,max_drawdown_pct,expense_ratio_pct,composite_score
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,11.54,0.82,0.66,0.96,-25.91,1.42,31.8
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,11.3,0.81,1.78,0.87,-24.43,0.66,29.2
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,15.29,0.8,0.9,1.04,-32.22,0.78,27.4
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,13.58,0.8,0.54,0.98,-22.62,1.6,27.3
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,12.14,0.87,1.43,0.87,-17.4,0.75,25.25
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,5.31,1.33,0.89,0.37,-2.23,0.55,25.1
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,12.36,0.88,0.87,0.89,-21.7,1.54,24.55
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,15.18,0.8,1.42,1.0,-32.38,1.38,24.5
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,11.84,0.85,1.41,0.91,-27.54,1.64,24.25
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,11.77,0.91,1.8,1.04,-26.75,0.89,24.0
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,12.33,0.88,1.7,1.02,-18.14,0.72,23.9
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,13.38,0.96,1.13,0.97,-33.5,0.92,23.15
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,12.1,0.93,0.93,0.9,-24.42,1.57,23.0
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,20.15,0.81,0.8,1.03,-30.87,1.53,22.6
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,20.98,0.84,0.51,1.0,-14.45,1.38,22.05
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,14.41,1.03,0.88,1.03,-26.59,0.8,22.0
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,12.25,0.87,1.27,0.93,-17.86,1.59,21.9
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,20.08,0.8,0.69,0.98,-17.01,1.52,21.9
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,5.14,5.14,1.18,0.43,-3.66,0.79,21.85
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,14.76,0.98,0.55,0.92,-21.89,1.41,21.45
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,6.18,6.18,1.52,0.47,-3.81,0.6,20.6
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,6.07,1.52,1.6,0.22,-2.3,0.77,20.25
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,15.61,0.82,1.12,0.92,-13.43,1.51,20.1
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,16.58,0.87,0.95,0.91,-13.67,1.38,19.95
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,14.56,0.91,1.7,0.99,-33.15,1.52,19.35
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,14.0,1.0,0.86,0.88,-16.07,1.51,19.25
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,18.08,0.95,0.89,1.0,-21.84,1.36,18.65
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,7.37,1.84,1.98,0.44,-6.01,0.56,18.45
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,23.14,0.93,1.13,1.04,-24.78,0.72,18.15
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,12.82,0.92,1.82,0.91,-21.7,1.54,17.8
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,17.16,0.9,1.02,0.98,-26.99,1.61,17.55
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,7.68,7.68,1.85,0.26,-2.62,0.74,16.75
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,14.84,1.06,0.78,0.97,-17.41,1.55,16.6
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,13.78,0.98,1.34,1.03,-15.07,1.6,14.9
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,14.81,1.06,1.62,0.96,-17.07,1.46,13.45
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,23.39,0.94,1.23,0.89,-13.35,1.43,12.6
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,22.38,0.9,1.84,0.97,-23.61,1.53,12.55
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,15.65,0.98,1.85,0.95,-19.5,1.45,11.5
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,15.34,0.96,1.79,1.0,-12.14,1.64,10.0
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,18.23,0.96,1.91,1.0,-21.92,1.56,9.7
