amfi_code,hhi,hhi_normalized,concentration,scheme_name,fund_house,category
119092,2064.4766999999997,20.644766999999998,Highly Concentrated,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity
101207,2007.0043,20.070043000000002,Highly Concentrated,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity
119599,1747.5096,17.475096,Highly Concentrated,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity
102885,1747.0902,17.470902000000002,Highly Concentrated,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity
118632,1682.982,16.829819999999998,Highly Concentrated,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity
148568,1679.2973,16.792973,Highly Concentrated,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity
120505,1575.7036,15.757036000000001,Highly Concentrated,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity
120506,1537.936,15.379359999999998,Highly Concentrated,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity
125498,1524.1398,15.241397999999998,Highly Concentrated,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity
120841,1496.8035,14.968035,Highly Concentrated,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity
148569,1493.9642000000001,14.939642000000001,Highly Concentrated,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity
100033,1475.9226,14.759226000000002,Highly Concentrated,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity
149323,1416.2096,14.162095999999998,Highly Concentrated,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity
120503,1408.7026,14.087026000000002,Highly Concentrated,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity
100016,1395.3385999999998,13.953385999999998,Highly Concentrated,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
148567,1385.8417,13.858417,Highly Concentrated,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity
125497,1365.8554,13.658553999999999,Highly Concentrated,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity
119094,1364.0591,13.640590999999999,Highly Concentrated,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity
118635,1359.4415,13.594415,Highly Concentrated,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity
149322,1343.9796999999999,13.439796999999999,Highly Concentrated,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity
119093,1308.9424000000001,13.089424000000001,Highly Concentrated,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity
102887,1298.0495,12.980495000000001,Highly Concentrated,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity
101206,1293.3173000000002,12.933173000000002,Highly Concentrated,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity
120843,1286.8306,12.868306,Highly Concentrated,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity
120842,1274.3881,12.743880999999998,Highly Concentrated,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity
118633,1214.6086,12.146086,Highly Concentrated,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity
119551,1187.1552,11.871552,Highly Concentrated,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
149324,1186.771,11.867709999999999,Highly Concentrated,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity
102886,1146.9283999999998,11.469283999999998,Highly Concentrated,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity
119095,1096.0535,10.960535,Highly Concentrated,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity
120504,1086.7415,10.867415000000001,Highly Concentrated,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity
118634,1083.5772,10.835771999999999,Highly Concentrated,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity
119552,1080.1068999999998,10.801068999999998,Highly Concentrated,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity
119598,1073.4895000000001,10.734895000000002,Highly Concentrated,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
