amfi_code,sharpe_ratio
100016,-0.2015
100025,-0.5671
100033,1.0937
101206,1.0272
101207,0.1627
101208,-0.8156
102885,0.8171
102886,-0.2058
102887,0.6195
118632,1.0817
118633,0.6452
118634,0.4484
118635,0.6649
118636,-0.3566
119092,0.0308
119093,0.1296
119094,0.9982
119095,-0.076
119120,-0.2266
119551,1.2083
119552,0.9533
119598,0.9453
119599,-0.0572
120503,0.798
120504,1.0265
120505,1.1801
120506,0.6489
120507,0.4957
120841,0.4943
120842,0.076
120843,1.3067
120844,-0.0887
125497,0.7758
125498,0.3006
148567,1.4483
148568,0.9263
148569,1.2349
149322,0.464
149323,1.1321
149324,0.9498
