investor_id,total_transactions,avg_gap_days,max_gap_days,risk_flag
INV000002,6,82.8,114,at-risk
INV000004,9,53.4,265,at-risk
INV000005,8,52.0,167,at-risk
INV000006,6,99.0,295,at-risk
INV000008,8,50.3,107,at-risk
INV000009,7,80.8,162,at-risk
INV000010,11,32.8,121,at-risk
INV000011,11,45.2,122,at-risk
INV000012,11,41.4,104,at-risk
INV000013,10,36.9,99,at-risk
INV000014,11,47.1,119,at-risk
INV000020,6,57.8,122,at-risk
INV000021,6,75.4,137,at-risk
INV000022,6,95.8,178,at-risk
INV000023,10,45.6,115,at-risk
INV000024,8,43.3,167,at-risk
INV000026,7,72.3,145,at-risk
INV000027,7,58.5,140,at-risk
INV000028,9,58.5,232,at-risk
INV000029,11,36.4,71,at-risk
INV000030,12,38.3,92,at-risk
INV000031,6,85.0,262,at-risk
INV000032,8,67.7,166,at-risk
INV000033,11,46.2,87,at-risk
INV000038,7,64.2,183,at-risk
INV000039,8,52.9,94,at-risk
INV000040,10,51.6,118,at-risk
INV000041,6,68.6,144,at-risk
INV000044,6,89.0,290,at-risk
INV000045,10,39.2,70,at-risk
INV000046,7,72.0,292,at-risk
INV000048,11,36.8,120,at-risk
INV000051,6,63.2,167,at-risk
INV000052,10,46.0,129,at-risk
INV000054,7,56.0,103,at-risk
INV000055,12,36.4,107,at-risk
INV000056,8,66.9,161,at-risk
INV000057,11,34.8,65,at-risk
INV000058,7,56.8,121,at-risk
INV000062,8,66.3,148,at-risk
INV000065,6,91.8,122,at-risk
INV000066,7,40.8,115,at-risk
INV000069,12,40.2,110,at-risk
INV000071,7,14.3,56,at-risk
INV000072,10,46.7,188,at-risk
INV000073,10,45.7,112,at-risk
INV000074,11,50.8,191,at-risk
INV000075,7,62.3,87,at-risk
INV000076,9,58.4,148,at-risk
INV000079,9,56.1,120,at-risk
INV000081,11,48.8,167,at-risk
INV000082,9,62.8,225,at-risk
INV000084,7,76.5,155,at-risk
INV000085,8,52.1,135,at-risk
INV000086,12,36.5,102,at-risk
INV000087,10,51.6,103,at-risk
INV000089,11,49.1,130,at-risk
INV000090,7,48.5,148,at-risk
INV000091,12,45.6,112,at-risk
INV000093,10,49.3,111,at-risk
INV000094,11,44.8,173,at-risk
INV000095,9,52.4,155,at-risk
INV000097,11,45.7,183,at-risk
INV000098,7,66.8,111,at-risk
INV000099,8,52.4,178,at-risk
INV000100,8,61.4,155,at-risk
INV000101,12,42.2,102,at-risk
INV000102,11,45.7,97,at-risk
INV000103,8,63.9,137,at-risk
INV000104,12,45.0,79,at-risk
INV000105,10,44.3,87,at-risk
INV000108,9,45.6,165,at-risk
INV000109,10,41.1,63,at-risk
INV000113,9,55.6,144,at-risk
INV000115,6,94.0,136,at-risk
INV000117,8,54.9,124,at-risk
INV000118,6,50.6,152,at-risk
INV000123,9,44.8,138,at-risk
INV000124,6,86.8,210,at-risk
INV000125,7,57.2,92,at-risk
INV000128,10,45.6,129,at-risk
INV000129,11,49.1,105,at-risk
INV000130,10,38.2,97,at-risk
INV000131,12,37.7,64,at-risk
INV000132,9,46.1,125,at-risk
INV000133,7,73.5,265,at-risk
INV000137,9,41.8,73,at-risk
INV000138,12,45.4,170,at-risk
INV000143,7,51.3,146,at-risk
INV000144,6,73.0,193,at-risk
INV000145,9,55.9,98,at-risk
INV000146,8,47.7,109,at-risk
INV000147,7,58.0,141,at-risk
INV000148,10,46.2,168,at-risk
INV000150,9,58.0,165,at-risk
INV000151,6,66.8,115,at-risk
INV000153,10,31.4,93,at-risk
INV000154,9,59.1,99,at-risk
INV000155,8,55.3,163,at-risk
INV000156,7,79.8,130,at-risk
INV000158,8,63.7,118,at-risk
INV000161,9,54.8,191,at-risk
INV000163,10,47.4,80,at-risk
INV000164,6,61.8,208,at-risk
INV000165,9,58.9,236,at-risk
INV000166,6,99.6,253,at-risk
INV000167,9,63.0,195,at-risk
INV000169,12,41.2,121,at-risk
INV000173,11,34.6,156,at-risk
INV000174,8,68.3,117,at-risk
INV000175,12,45.6,150,at-risk
INV000177,11,45.8,210,at-risk
INV000179,6,35.8,85,at-risk
INV000180,8,47.9,226,at-risk
INV000181,10,52.3,264,at-risk
INV000182,10,55.2,182,at-risk
INV000183,12,41.5,177,at-risk
INV000189,6,91.6,120,at-risk
INV000190,8,65.7,240,at-risk
INV000191,11,42.4,85,at-risk
INV000192,8,57.0,122,at-risk
INV000193,9,58.2,208,at-risk
INV000194,12,33.7,109,at-risk
INV000195,10,45.8,114,at-risk
INV000196,9,56.8,147,at-risk
INV000199,7,64.3,191,at-risk
INV000200,7,69.8,163,at-risk
INV000201,10,48.7,100,at-risk
INV000203,9,39.9,131,at-risk
INV000204,7,69.0,173,at-risk
INV000205,10,48.7,193,at-risk
INV000210,9,61.9,163,at-risk
INV000211,9,61.0,190,at-risk
INV000213,6,54.0,103,at-risk
INV000214,10,52.7,206,at-risk
INV000215,9,56.4,198,at-risk
INV000216,6,53.0,107,at-risk
INV000217,11,46.0,150,at-risk
INV000220,6,80.6,253,at-risk
INV000221,8,38.4,101,at-risk
INV000222,6,45.6,109,at-risk
INV000223,11,49.8,123,at-risk
INV000224,7,57.5,138,at-risk
INV000225,8,53.7,150,at-risk
INV000226,8,69.6,105,at-risk
INV000228,12,43.5,109,at-risk
INV000229,7,46.3,78,at-risk
INV000230,10,50.7,145,at-risk
INV000231,11,34.1,96,at-risk
INV000234,7,81.2,167,at-risk
INV000235,10,42.1,140,at-risk
INV000236,8,67.1,112,at-risk
INV000238,10,52.0,242,at-risk
INV000239,11,34.2,66,at-risk
INV000241,10,40.9,93,at-risk
INV000242,10,49.6,98,at-risk
INV000243,8,63.0,126,at-risk
INV000244,9,34.0,109,at-risk
INV000245,11,46.1,92,at-risk
INV000249,8,39.0,162,at-risk
INV000251,6,65.0,204,at-risk
INV000252,10,36.8,96,at-risk
INV000255,8,56.0,149,at-risk
INV000256,12,38.5,79,at-risk
INV000257,8,53.3,88,at-risk
INV000259,9,44.1,119,at-risk
INV000260,12,37.9,126,at-risk
INV000261,10,50.4,228,at-risk
INV000262,12,34.1,95,at-risk
INV000263,9,59.9,229,at-risk
INV000265,12,43.7,140,at-risk
INV000266,7,62.2,104,at-risk
INV000267,12,34.5,134,at-risk
INV000268,11,43.2,106,at-risk
INV000270,6,48.8,130,at-risk
INV000271,6,93.6,203,at-risk
INV000274,6,89.2,175,at-risk
INV000276,6,68.4,187,at-risk
INV000278,8,67.0,193,at-risk
INV000279,12,31.5,133,at-risk
INV000280,12,40.5,112,at-risk
INV000283,11,46.5,132,at-risk
INV000284,7,63.7,137,at-risk
INV000286,7,79.5,215,at-risk
INV000287,9,52.4,171,at-risk
INV000288,9,57.1,84,at-risk
INV000289,12,39.9,93,at-risk
INV000291,9,55.6,189,at-risk
INV000292,11,35.8,85,at-risk
INV000293,12,45.5,126,at-risk
INV000294,7,62.3,156,at-risk
INV000296,8,58.6,111,at-risk
INV000297,9,56.6,116,at-risk
INV000298,6,74.0,118,at-risk
INV000299,11,48.8,118,at-risk
INV000301,7,45.7,92,at-risk
INV000303,6,88.4,160,at-risk
INV000304,10,53.1,204,at-risk
INV000305,9,44.0,122,at-risk
INV000307,7,75.7,162,at-risk
INV000308,7,82.7,212,at-risk
INV000309,12,41.5,93,at-risk
INV000310,12,41.4,77,at-risk
INV000312,8,68.4,140,at-risk
INV000314,9,50.2,106,at-risk
INV000316,6,77.0,184,at-risk
INV000318,8,69.6,124,at-risk
INV000319,9,55.1,189,at-risk
INV000320,12,38.2,94,at-risk
INV000321,12,44.3,117,at-risk
INV000323,6,59.6,129,at-risk
INV000326,6,74.4,201,at-risk
INV000328,12,29.5,67,at-risk
INV000330,9,55.6,133,at-risk
INV000331,11,47.7,163,at-risk
INV000332,6,64.4,208,at-risk
INV000333,6,90.2,174,at-risk
INV000334,12,26.6,78,at-risk
INV000335,11,48.0,163,at-risk
