Rank,amfi_code,fund_house,scheme_name,category,expense_ratio_pct,risk_category,cagr_1yr,cagr_3yr,cagr_5yr,sharpe_ratio,sortino_ratio,alpha,beta,r_squared,max_drawdown_pct,peak_date,trough_date,rank_return,rank_sharpe,rank_alpha,rank_expense,rank_mdd,composite_score
1,120505,ICICI Prudential MF,ICICI Pru Midcap Fund - Regular - Growth,Equity,1.36,High,30.35,30.21,31.48,1.1801,2.0294,29.26,0.0,0.0,-18.19,2024-10-24,2025-01-23,90.0,90.0,95.0,65.0,62.5,84.5
2,100033,HDFC Mutual Fund,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,1.38,High,47.73,33.63,28.9,1.0937,1.8291,27.2,0.01,0.0,-16.22,2022-03-11,2022-05-12,97.5,85.0,87.5,60.0,50.0,82.0
3,119094,Axis Mutual Fund,Axis Midcap Fund - Regular - Growth,Equity,1.38,High,30.92,36.07,27.08,0.9982,1.7038,26.08,-0.07,0.0019,-20.96,2022-04-14,2022-08-11,100.0,75.0,80.0,60.0,70.0,80.8
4,119598,SBI Mutual Fund,SBI Small Cap Fund - Regular Plan - Growth,Equity,1.43,Very High,84.53,27.81,31.1,0.9453,1.6753,30.34,-0.02,0.0001,-28.71,2024-08-28,2025-05-14,85.0,67.5,100.0,50.0,90.0,78.9
5,148567,Mirae Asset MF,Mirae Asset Large Cap Fund - Regular - Growth,Equity,1.46,Moderate,14.58,31.28,29.71,1.4483,2.3856,26.98,0.02,0.0005,-11.27,2023-07-11,2023-10-20,92.5,100.0,85.0,45.0,20.0,78.5
6,120843,Kotak Mahindra MF,Kotak Flexicap Fund - Regular - Growth,Equity,1.45,Moderately High,28.48,25.66,29.65,1.3067,2.3643,27.33,-0.02,0.0003,-12.97,2022-03-07,2022-04-13,78.75,97.5,90.0,47.5,32.5,76.4
7,149324,DSP Mutual Fund,DSP Small Cap Fund - Regular - Growth,Equity,1.52,Very High,62.08,25.03,30.97,0.9498,1.6198,30.06,0.01,0.0,-31.17,2024-05-03,2025-01-03,75.0,70.0,97.5,36.25,92.5,74.2
8,120504,ICICI Prudential MF,ICICI Pru Bluechip Fund - Direct - Growth,Equity,0.8,Moderate,11.5,28.37,22.37,1.0265,1.8053,21.19,0.02,0.0002,-12.59,2022-10-04,2023-05-30,87.5,77.5,70.0,72.5,30.0,73.5
9,119551,SBI Mutual Fund,SBI Bluechip Fund - Regular Plan - Growth,Equity,1.54,Moderate,48.88,27.73,24.77,1.2083,2.1403,23.2,-0.03,0.0009,-15.01,2023-08-24,2024-02-05,82.5,92.5,77.5,26.25,42.5,71.6
10,148569,Mirae Asset MF,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,1.6,High,44.47,23.32,30.64,1.2349,2.1469,28.27,0.02,0.0002,-16.4,2023-08-10,2023-10-20,70.0,95.0,92.5,11.25,52.5,70.2
11,101206,Aditya Birla Sun Life MF,ABSL Frontline Equity Fund - Regular - Growth,Equity,1.6,Moderate,45.09,32.53,22.6,1.0272,1.7996,21.4,0.02,0.0003,-11.29,2023-04-24,2023-07-05,95.0,80.0,72.5,11.25,22.5,66.9
12,149323,DSP Mutual Fund,DSP Midcap Fund - Regular - Growth,Equity,1.61,High,22.31,24.24,28.38,1.1321,1.8751,26.6,-0.0,0.0,-17.25,2022-06-06,2022-10-24,72.5,87.5,82.5,7.5,55.00000000000001,66.8
13,118632,Nippon India MF,Nippon India Large Cap Fund - Regular - Growth,Equity,1.51,Moderate,21.78,18.09,23.09,1.0817,1.8501,21.83,-0.01,0.0001,-17.41,2024-01-02,2024-07-19,60.0,82.5,75.0,41.25,57.49999999999999,65.6
